"entreprise","no_civique","rue_local","code_postal","entreprise_tel","scian_principal"
"ACADÉMIE MASSAGE SCIENTIFIQUE",740,"Rue Galt Ouest","J1H 1Z3","1 800 475-1964","Tous Les Autres Etablissements De Formation Et D'Education"
"ACADÉMIE SGS / ARTS MARTIAUX SHERBROOKE",297,"Rue King Ouest","J1H 1R2","819 620-5566","Centre De Sports Recreatifs Et De Conditionnement Physique"
"ACASTI PHARMA",2650,"Rue Maximilien-chagnon","J1E 0M8","819 481-0449","Laboratoires Medicaux Et D'Analyses Diagnostiques"
"ACCÈS QUÉBEC",400,"Rue Laval","J1C 0R1","819 993-7104","Grossistes-Distributeurs D'Autres Produits Alimentaires Speciaux"
"ACCOMMODATION DOMON ENR.",7235,"Chemin de Saint-Élie","J1R 0K5","819 562-5751","Depanneurs"
"ACCOMMODATION GAËTAN",1301,"Rue LaRocque","J1H 4S1","819 565-8633","Depanneurs"
"ACCOMMODATION PLACE OXFORD INC.",3085,"Rue College","J1M 2E2","819 569-9525","Depanneurs"
"ACCOMMODATION WOODWARD",903,"Rue Woodward","J1G 1W5","819 565-1862","Depanneurs"
"ACCOMODATION GIRO",1800,"Rue Belvédère Sud","J1H 5W7","819 346-2772","Depanneurs"
"ACCOMODATION PML",182,"Rue Queen","J1M 1J9","819 565-0211","Depanneurs"
"ACCROC CANIN",565,"Rue King Est","J1G 1B6","819 574-9893","Animaleries Et Magasins De Fournitures Pour Animaux"
"ACCUEIL POIRIER",115,"Rue Galt Ouest","J1H 1X8","819 821-2233 poste 302","Fondations Et Organismes De Charite"
"ACI SHERBROOKE",2500,"Boulevard de l'Université","J1K 2R1","819 821-8000","Organisations Civiques Et Amicales"
"ACIER FASTECH INC",2630,"Rue King Ouest","J1H 2H1","819 346-8877","Grossistes-Distributeurs De Metaux Et De Produits Metalliques"
"ACIER LENNOX LTÉE",218,"Rue Queen","J1M 1K2","819 564-1790","Grossistes-Distributeurs De Metaux Et De Produits Metalliques"
"ACIER ORFORD INC.",10265,"Rue du Panorama","J1N 0G8","819 868-4060","Toutes Les Autres Activites Diverses De Fabrication"
"ACIERS SIMMONDS LTÉE",1931,"Rue Galt Est","J1G 3H9","819 563-4155","Grossistes-Distributeurs De Metaux Et De Produits Metalliques"
"ACP CANADA INC. (HUEHOCO GROUP)",4885,"Rue Robert-Boyd","J1R 0W8","819 348-0404","Fabrication De Toutes Les Autres Machines D'Usage Général"
"ACTION HANDICAP ESTRIE",172,"Rue Élaine-C.-Poirier","J1H 2C5","819 821-4245","Organisme D'Action Sociale"
"ACTION INTERCULTURELLES",465,"Rue Lawford","J1G 2C2","819 822-4180","Organisme D'Action Sociale"
"ACTION PASSE-PARTOUT INC.",920,"Rue des Tourterelles","J1R 0M5","819 569-3119","Services D'Amenagement Paysager"
"ACTION PLUS DE SHERBROOKE INC.",172,"Rue Élaine-C.-Poirier","J1H 2C5","819 564-4418","Organisme D'Action Sociale"
"ACTION SAINT-FRANCOIS",165,"Rue Moore","J1H 1B8","819 563-5362","Organisme D'Action Sociale"
"ACTION SOUFFLE DE VIE",400,"Rue Galt Ouest","J1H 1Y6","819 826-3541","Organismes Religieux"
"ACTION SPORT PHYSIO",350,"Rue Terrill","J1E 3S7","819 346-6060","Cabinets De Physiotherapeutes, D'Ergotherapeutes, D'Orthophonistes Et D'Audiologistes"
"ACTION VÉLO PLUS",4278,"Rue Manon","J1N 3T6","819 347-1753","Autres Associations"
"ACTIONS SECOURS INC.",1432,"Rue King Ouest","J1J 2C2","819 563-9812","Tous Les Autres Etablissements De Formation Et D'Education"
"ACTUEL BEAUTÉ",23,"Rue Cate","J1J 2N9","819 829-9777","Salons De Beaute"
"ACUPONCTURE ANDRÉANNE LAROCHE",185,"Rue Frontenac","J1H 1K1","819 588-9448","Tous Les Autres Services Personnels"
"ACUPUNCTURE & OSTÉOPATHIE ANN MICHAUD",4990,"Rue de la Randonnée","J1N 0N8","819 345-5955","Etablissements Communautaires De Soins Pour Personnes Agees"
"ACUPUNCTURE GÉRALD PERROUTY",250,"Rue King Est","J1G 1A9","819 574-2351","Cabinets De Tous Les Autres Praticiens"
"ACUPUNCTURE ISABELLE DUFRESNE",1871,"Rue Galt Ouest","J1L 1J5","819 943-9897","Autres Services De Soins Personnels"
"ADAM'S DINING ROOM",2600,"Rue College","J1M 0C8",NA,"Entrepreneurs En Restauration"
"ADAM, BEAUDOIN, NOTAIRES",30,"Rue du Couvent","J1C 0T3","819 846-2754","Etudes De Notaires"
"ADBA (ASSO. DES ÉTUD. DE DOCTORAT EN ADMIN. DES AFFAIRES)",2500,"Boulevard de l'Université","J1K 2R1","819 821-8000","Organisations Civiques Et Amicales"
"ADC CABINETS INC.",4103,"Boulevard Industriel","J1L 2S7","819 348-2620","Fabrication D'Armoires Et De Comptoirs De Cuisine En Bois"
"ADDISON ÉLECTRONIQUE",4450,"Boulevard Bourque","J1N 1S3","819 200-3833","Magasins D'Appareils Menagers, De Televiseurs Et D'Autres Appareils Electroniques"
"ADED (ASSO. DES DOCTORANT EN ÉCON. DU DÉVELOPPEMENT)",2500,"Boulevard de l'Université","J1K 2R1","819 821-8000","Organisations Civiques Et Amicales"
"ADEEM (ASSO. DÉP. DES ÉTUD. EN MUSIQUE)",2500,"Boulevard de l'Université","J1K 2R1","819 821-8000","Organisations Civiques Et Amicales"
"ADEMFUS (ASSO. DES ÉTUD. EN MAITRISE EN FISCALITÉ DE U. DE S.)",2500,"Boulevard de l'Université","J1K 2R1","819 821-8000","Organisations Civiques Et Amicales"
"ADEPT SPORTWEAR",3451,"Boulevard Industriel","J1L 1X7","819 571-2723, 873 888-7199","Serigraphie Commerciale"
"ADF DIESEL SHERBROOKE INC.",2680,"Rue King Est","J1G 5H1","819 563-8880, 1 866 563-8880","Reparation Et Entretien De Machines Et De Materiel  D'Usage Commercial Et Industriel"
"ADMINISTRATION DANY ST-LAURENT",716,"Rue Short","J1H 2E8","819 346-1271","Services De Tenue De Livres Et De Paye Et Services Connexes"
"ADMINISTRATION DROUIN & ASS.",5104,"Boulevard Bourque","J1N 2K7","819 564-8816","Cabinets De Comptables"
"ADMINISTRATION GROUPE BEAUCAGE",4339,"Boulevard Bourque","J1N 1S4","819 564-2196","Marchands D'Automobiles Neuves"
"ADR POLIQUIN SOUDURE INC.",1150,"Rue Thomas-Tremblay","J1G 5G5","819 562-2208","Reparation Et Entretien De Machines Et De Materiel  D'Usage Commercial Et Industriel"
"ADRENALINE",942,"Rue Belvédère Sud","J1H 4C3","819 345-0809","Centre De Sports Recreatifs Et De Conditionnement Physique"
"AEPEA (ASSO. ÉTUD. EN PHILO. ET EN ÉTHIQUE APPLIQUÉE)",2500,"Boulevard de l'Université","J1K 2R1","819 821-8000","Organisations Civiques Et Amicales"
"AÉRONAVETTE",4355,"Boulevard Bourque","J1N 1S4","1-855 628-3883","Services De Taxi"
"AEROTEK",2100,"Rue King Ouest","J1J 2E8","819 780-9730","Services De Conseils En Ressources Humaines Et En Recherche De Cadres"
"AFEAS RÉGION DE L'ESTRIE (ASSOCIATION FÉMININE D'ÉDUCATION ET D'ACTION SOCIALE)",5182,"Boulevard Bourque","J1N 1H4","819 864-4186","Organisme D'Action Sociale"
"AFFLU-O",4240,"Boulevard de Portland","J1L 0A3","819 348-0999","Grossistes-Distributeurs De Machines, Materiel Et Fournitures Industriels"
"AFFUTECH 3000 INC.",4330,"Boulevard Industriel","J1L 2S8","819 822-3373","Reparation Et Entretien De Machines Et De Materiel  D'Usage Commercial Et Industriel"
"AGED (ASSO. GÉNÉRALE DES ÉTUD. EN DROIT U. DE S.",2500,"Boulevard de l'Université","J1K 2R1","819 821-8000","Organisations Civiques Et Amicales"
"AGEEFEUS (ASSOCIATION GÉNÉRALE DES ÉTUDIANTS ET ÉTUDIANTES DE LA FACULTÉ  D'ÉDUCATION DE L' UDES)",2500,"Boulevard de l'Université","J1K 2R1","819 821-7637","Organisations Civiques Et Amicales"
"AGEFLESH (ASSO. GÉNÉRALE ÉTUD. DE LA FAC. LETTRES ET SCIENCES HUM.)",2500,"Boulevard de l'Université","J1K 2R1","819 821-8000","Organisations Civiques Et Amicales"
"AGEG (ASSO. GÉNÉRALE DES ÉTUD. EN GÉNIE U. DE S.",2500,"Boulevard de l'Université","J1K 2R1","819 569-3776","Organisations Civiques Et Amicales"
"AGEKEP (ASSO. GÉNÉRALE DES ÉTUD. EN KINO. ET ÉDUC. PHYSIQUE)",2500,"Boulevard de l'Université","J1K 2R1","819 821-7780","Organisations Civiques Et Amicales"
"AGEMDELCUS (ASSO. DES ÉTUD. EN MAITRISE ET DOC. EN LETTRES ET COMM. U. DE S.)",2500,"Boulevard de l'Université","J1K 2R1","819 821-6227","Organisations Civiques Et Amicales"
"AGEMDEUS (ASSOCIATION GÉNÉRALE DES ÉTUDIANTS EN MAITRISE ET DOCTORAT EN ÉDUCATION DE L'UDES)",2500,"Boulevard de l'Université","J1K 2R1","819 821-8000","Organisations Civiques Et Amicales"
"AGENCE CANADIENNE D'INSPECTION DES ALIMENTS",50,"Place de la Cité","J1H 4G9","819 564-5509","Autres Services De L'Administration Publique Federale"
"AGENCE CONTINUUM EXPERTS RECRUTEURS",1124,"Rue King Ouest","J1H 1S2","1-877 663-5505","Services De Conseils En Ressources Humaines Et En Recherche De Cadres"
"AGENCE DE LA SANTÉ ET DES SERVICES SOCIAUX DE L'ESTRIE",300,"Rue King Est","J1G 1B1","819 780-2220","Autres Services Des Administrations Publiques Provinciales Et Territoriales"
"AGENCE DE VOYAGE MERCEDES",1080,"Rue King Ouest","J1H 1S2","819 575-0629","Agences De Voyages"
"AGENCE DE VOYAGES LENNOXVILLE INC.",1285,"Rue Bowen Sud","J1G 2H2","819 791-7507","Agences De Voyages"
"AGENCE DU LIVRE (ADL)",4435,"Rue Ouimet","J1L 1Y4","819 348-2662","Entreposage General"
"AGENCE DU REVENU DU CANADA",50,"Place de la Cité","J1H 4G9","819 644-4545","Autres Services De L'Administration Publique Federale"
"AGENCE HÉLÈNE ROY – EMPLOIS ET FORMATIONS SUR MESURE",1335,"Rue King Ouest","J1J 2B8","819 822-0088","Agences De Placement"
"AGENCE IMMOBILIÈRE R",153,"Rue Wellington Nord","J1H 5C2","819 823-4678","Bureaux D'Agents Et De Courtiers Immobiliers"
"AGENCE PHOTOBANQUE",1360,"12e Avenue Nord","J1E 3V4","819 562-6663","Services Photographiques"
"AGENCE WEB DIFFUSIO",1755,"Rue White","J1J 1Z6","819 340-8740","Agences De Publicite"
"AGENDRIX",779,"Rue Paul-Desruisseaux","J1J 4L9","1 888 982-9307","Editeurs De Logiciels"
"AGES (ASSOCIATION GÉNÉRALE DES ÉTUDIANTS ET ÉTUDIANTES EN SCIENCES DE L'UDES)",2500,"Boulevard de l'Université","J1K 2R1","819 821-8000 poste 65364 ","Organisations Civiques Et Amicales"
"AGIRECUS (ASSO. GÉNÉRALE DE L'INST. DE RECH. ET D'ÉDUC. COOP. U. DE S.)",2500,"Boulevard de l'Université","J1K 2R1","819 821-7220","Organisations Civiques Et Amicales"
"AGISQ - ASSOCIATION DES GESTIONNAIRES DE L'INFORMATION DE LA SANTÉ DU QUÉBEC",5104,"Boulevard Bourque","J1N 2K7","819 823-6670","Organisations Syndicales"
"AGRÉMAT ESTRIE INC.",2910,"Rue King Est","J1G 5J2","819 565-4444","Entrepreneurs En Travaux De Maconnerie"
"AGRI ANALYSE ENR.",1730,"Rue Wellington Sud","J1M 1K9","819 821-2152","Activites De Soutien Aux Cultures Agricoles"
"AGRICULTURE ET AGROALIMENTAIRE CANADA",2000,"Rue College","J1M 1Z7","819 565-7191","Autres Services De L'Administration Publique Federale"
"AGRISTRATÉGIES",35,"Rue Belvédère Nord","J1H 4A7","819 575-7026","Services De Conseils En Environnement"
"AGROPERFORME",6943,"Boulevard Bourque","J1N 3K4",NA,"Activites De Soutien Aux Cultures Agricoles"
"AGROPOL",1060,"Rue de Cherbourg","J1K 2N8","819 574-0003","Traiteurs"
"AGRUS (ASSO. GÉNÉRALE DES RÉSIDENTS DE L'U. DE S.)",2500,"Boulevard de l'Université","J1K 2R1","819 821-8000","Organisations Civiques Et Amicales"
"AIDE COMMUNAUTAIRE",164,"Rue Queen","J1M 1J9","819 821-4779","Organisme D'Action Sociale"
"AIDE JURIDIQUE - SECTION CRIMINELLE ET JEUNESSE",225,"Rue King Ouest","J1H 1P8","819 563-4721","Etudes D'Avocats"
"AIDE JURIDIQUE ESTRIE - SECTION CIVILE ET MATRIMONIALE",225,"Rue King Ouest","J1H 1P8","819 563-6122","Etudes D'Avocats"
"AIDEN PROFESSIONNEL ONGLES",764,"Rue King Est","J1G 1C5","819 791-0687","Salons De Beaute"
"AIESEC (ASSO. INTERNATIONALE DES ÉTUD. EN SCIENCES ÉCON. ET COMMERCIALES)",2500,"Boulevard de l'Université","J1K 2R1","819 821-8000","Organisations Civiques Et Amicales"
"AIGUISAGE R. CHEVRIER",7143,"Boulevard Bourque","J1N 3K5","819 864-1655","Atelier D'Usinage"
"AIKAWA FIBER TECHNOLOGIES",72,"Rue Queen","J1M 2C3","819 821-4930","Toutes Les Autres Activites Diverses De Fabrication"
"AIM RECYCLAGE SHERBROOKE",2735,"Boulevard Queen-Victoria","J1J 4N8","819 563-8012","Collecte Des Dechets"
"AIPSA (ASSOCIATION DES INGÉNIEURS-PROFESSEURS EN SCIENCES APPLIQUÉES)",2500,"Boulevard de l'Université","J1K 2R1","819 821-7929","Organisations Syndicales"
"AIR ESTRIE",354,"Rue Clément","J1R 0A9","819 446-2726","Services De Nettoyage De Conduits De Cheminees"
"AIR LIBRE COMMUNICATION",195,"Rue Belvédère Nord","J1H 4A7","819 822-1999","Agences De Publicite"
"AIR LIQUIDE CANADA INC.",4145,"Rue Brodeur","J1L 1K4","1 833 935-3252","Marchand De Combustible"
"AIRGO TECHNOLOGIES",1043,"Rue du Conseil","J1G 1M1","1 866 372-1414","Toutes Les Autres Activites Diverses De Fabrication"
"ALAIN BIBEAU DÉBOSSELAGE ENR.",148,"Rue Saint-Lambert","J1C 0N8","819 846-2486","Reparation Et Entretien De La Carosserie, De La Peinture Et De L'Interieur De Vehicules Automobiles"
"ALAIN FREDETTE COURTIER IMMOBILIER",1986,"Boulevard de Portland","J1J 1T9","819 572-4545","Services Administratifs De Bureau"
"ALAIN HOULE MASSOTHÉRAPEUTE",2558,"Chemin Galvin","J1G 4K8","819 820-7332","Autres Services De Soins Personnels"
"ALAIN MONGEAU TRANSPORT INC.",260,"Rue Léger","J1L 1Y5","819 562-2345","Transport Local Par Camion De Marchandises Diverses"
"ALARME ABC",3729,"Rue Henri-Mongeau","J1N 2W6","819 823-7916","Services De Systemes De Securite, Sauf Les Serruriers"
"ALARME CENTAUR",1381,"Rue King Est","J1G 1E8","819 791-0899","Services De Systemes De Securite, Sauf Les Serruriers"
"ALARME SHERBROOKE INC",2525,"Chemin des Pèlerins","J1H 0C2","819 346-2922","Services De Systemes De Securite, Sauf Les Serruriers"
"ALBATROS COIFFURE",1112,"Rue Desrochers","J1J 3C8","819 562-2111","Salons De Coiffure Mixtes"
"ALBERT GROUPE CONSEIL",4050,"Rue Lesage","J1L 0B6","819 995-0521","Services De Conseils En Environnement"
"ALCO SERVICE",3780,"Chemin Duplessis","J1H 0C2",NA,"Location Et Location A Bail D'Autres Machines Et Materiel D'Usage Commercial Et Industriel"
"ALDO",3050,"Boulevard de Portland","J1L 1K1","819 566-1312","Magasins De Chaussures"
"ALEX",230,"Rue Alexandre","J1H 4S7","819 200-5830","Maisons De Chambres Et Pensions De Famille"
"ALFRED DEMERS CONSTRUCTEUR",195,"14e Avenue Sud","J1G 2W5","819 346-4741","Construction Residentielle"
"ALGER BARBIER",965,"Rue Galt Ouest","J1H 1Z6","819 446-1010","Salons De Coiffure Pour Homme"
"ALGO SOLEIL",4508,"Rue Yamaska","J1L 2P2","819 562-8165","Autres Services De Soins Personnels"
"ALI BABA PIZZA",275,"Rue King Est","J1G 1B2","819 563-2888","Etablissements De Restauration A Service Restreint"
"ALICE POS SE2",2100,"Rue King Ouest","J1J 2E8","1 844 242-7767","Tous Les Autres Services Professionnels, Scientifiques Et Techniques"
"ALIMENTATION DURHAM INC.",1594,"Rue Durham","J1J 1L9","819 562-5545","Depanneurs"
"ALLIANCE DES INTERVENANTES EN MILIEU FAMILIAL",825,"Rue Fabien","J1N 2J8","819 612-1622","Autres Associations"
"ALLÔ TACOS",107,"Rue Queen","J1M 2H9","819 791-5323","Restaurants A Service Complet"
"ALLÔ! MON COCO",3050,"Boulevard de Portland","J1L 1K1","819 566-2556","Restaurants A Service Complet"
"ALOHA BIKINI INC.",830,"13e Avenue Nord","J1E 3K3","819 575-1199","Magasins De Vetements Pour Femmes"
"ALPHA ASSURANCES INC.",2171,"Rue King Ouest","J1J 2G1","819 200-0266","Societes D'Assurance Directe Individuelle Vie, Maladie Et Soins Medicaux"
"ALPHA SANTÉ NATURELLE",351,"10e Avenue Sud","J1G 2R8","514 929-6431","Autres Services De Soins Personnels"
"ALTER-NATIVE BIO",6943,"Boulevard Bourque","J1N 3K4 ","819 437-1722","Grossistes-Distributeurs D'Autres Produits Alimentaires Speciaux"
"ALTERNA L6S",4400,"Boulevard Industriel","J1L 2S8","819 348-2201","Toutes Les Autres Activites Diverses De Fabrication"
"ALUMINIUM ASCOT INC.",4115,"Boulevard Industriel","J1L 2S7","819 562-6583","Entrepreneurs En Travaux De Parements"
"AMALGAME COACHING",2865,"Rue Maricourt","J1K 1R9",NA,"Services De Conseils En Ressources Humaines Et En Recherche De Cadres"
"AMALGAME PEINTURE",632,"Rue Murray","J1G 2K9","819 432-2990","Entrepreneurs En Peinture Et Tapisserie"
"AMANDINE ROBES & ÉVÉNEMENTS INC.",93,"Rue King Ouest","J1H 1P1","819 943-7958","Reparation Et Entretien  D'Appareils Menagers"
"AMARO DES CANTONS-DE-L’EST",1001,"Chemin Dion","J1R 0R8","819 571-9177","Grossistes-Distributeurs De Boissons Non Alcoolisees"
"AMECCI INC.",475,"Rue Pépin","J1L 1X3","819 822-0240","Toutes Les Autres Activites Diverses De Fabrication"
"AMÉLIE TANGUAY DESIGN",1576,"Rue King Ouest","J1J 2C3","819 570-7758","Services De Design D'Interieur"
"AMÉNAGEMENT HR INC.",6791,"Boulevard Bourque","J1N 3K4 ","819 432-7722","Grossistes-Distributeurs D'Autres Produits Alimentaires Speciaux"
"AMÉNAGEMENT LEBLANC",535,"Rue Pépin","J1L 1X3","819 565-3593","Services D'Amenagement Paysager"
"AMERICAN BILTRITE (RUE BANK)",200,"Rue Bank","J1H 4K3","819 829-3300","Toutes Les Autres Activites Diverses De Fabrication"
"AMERICAN BILTRITE (RUE PEPIN)",635,"Rue Pépin","J1L 2P8","1 888 275-7075","Entreposage General"
"AMEUBLEMENT BRANDSOURCE GILLES BOISVERT",231,"Rue King Ouest","J1H 1P8","819 563-4743","Magasins De Meubles"
"AMEUBLEMENT DE BUREAU JPM",6061,"Boulevard Bourque","J1N 1H2","819 342-4640","Toutes Les Autres Activites Diverses De Fabrication"
"AMEUS (ASSO. DE LA MAITRISE EN ENV. DE L'U. DE S.)",2500,"Boulevard de l'Université","J1K 2R1","819 821-8000","Organisations Civiques Et Amicales"
"AMF CANADA",1025,"Rue Cabana","J1K 2M4","1 800 255-3869","Grossistes-Distributeurs De Machines, Materiel Et Fournitures Industriels"
"AMF USINAGE",701,"Chemin Louis-Cayer","J1R 0H7","819 346-6714","Atelier D'Usinage"
"AMNESIA",3050,"Boulevard de Portland","J1L 1K1","819 566-7553","Magasins De Vetements Pour Femmes"
"AMOURTONIC",4573,"Boulevard Bourque","J1N 2G6","819 679-9425","Non classés"
"AMUS (ASSO. DES MUSULMANS DE L'U. DE S.)",2500,"Boulevard de l'Université","J1K 2R1","873 888-9588","Organisations Civiques Et Amicales"
"AMUSEMENT GONFLABLE DE L'ESTRIE",4378,"Rue Ouimet","J1L 2A8","819 239-8042","Location De D'Autres Biens De Consommation"
"ANDRÉ BACHAND DÉPUTE DE RICHMOND",1300,"Boulevard du Mi-Vallon","J1N 3B9","1 800 567-3596","Administration Publique Provinciale Et Territoriale"
"ANDRÉ G MATHIEU HUSSIER DE JUSTICE",104,"Rue King Ouest","J1H 1P6","819 200-6220","Autres Services Juridiques"
"ANDRÉ GODBOUT JOAILLIER",277,"Rue Terrill","J1E 1L3","819 821-0220","Bijouteries"
"ANDRÉ LAPIERRE SERVICE INC.",175,"Rue des Quatre-Pins","J1J 2L5","819 569-6676","Entrepreneur En Travaux De Plomberie, Chauffage Et Climatisation"
"ANDRÉ RICHARD, ÉBÉNISTE",1635,"Rue Brûlotte","J1E 3P4","819 565-0806","Entrepreneurs En Petite Menuiserie"
"ANGEL MÉCANO MOTO MÉTRIQUE LTÉE",3191,"Rue King Est","J1E 3Y6","819 565-0188","Tous Les Autres Services De Reparation Et D'Entretien De Vehicules Automobiles"
"ANGKOR ONGLES",732,"13e Avenue Nord","J1E 3L7","819 791-5577","Salons De Beaute"
"ANGLAIS HI-SPEED",216,"Rue Laval","J1C 0R1","819 674-7204","Ecoles De Langue"
"ANI-MAT INC.",395,"Rue Rodolphe-Racine","J1R 0S7","819 821-2091","Toutes Les Autres Activites Diverses De Fabrication"
"ANI-MAT INC. (CHEMIN GODIN)",395,"Rue Rodolphe-Racine","J1R 0S7","819 821-2091","Toutes Les Autres Activites Diverses De Fabrication"
